scheme,rank_lo,rank_hi,visits_mean,snr_mean,recalled_fraction
uniform/g=0.25/m=8,1,2,2.738000e3,6.297662e0,1.000000e0
uniform/g=0.25/m=8,3,5,9.536667e2,5.670504e0,1.000000e0
uniform/g=0.25/m=8,6,10,4.772500e2,5.336965e0,1.000000e0
uniform/g=0.25/m=8,11,21,2.393636e2,4.711419e0,1.000000e0
uniform/g=0.25/m=8,22,45,1.157396e2,3.431734e0,9.739583e-1
uniform/g=0.25/m=8,46,96,5.412745e1,2.034982e0,7.720588e-1
uniform/g=0.25/m=8,97,205,2.523165e1,1.097266e0,5.252294e-1
uniform/g=0.25/m=8,206,437,1.192511e1,5.446599e-1,3.518319e-1
uniform/g=0.25/m=8,438,935,5.626004e0,2.403334e-1,2.414659e-1
uniform/g=0.25/m=8,936,2000,2.616784e0,1.139439e-1,1.954225e-1
geo/r=2/m=8,1,2,2.738000e3,6.890192e0,1.000000e0
geo/r=2/m=8,3,5,9.536667e2,6.261197e0,1.000000e0
geo/r=2/m=8,6,10,4.772500e2,5.967043e0,1.000000e0
geo/r=2/m=8,11,21,2.393636e2,5.127081e0,1.000000e0
geo/r=2/m=8,22,45,1.157396e2,3.680231e0,9.947917e-1
geo/r=2/m=8,46,96,5.412745e1,2.035769e0,8.014706e-1
geo/r=2/m=8,97,205,2.523165e1,1.082235e0,5.194954e-1
geo/r=2/m=8,206,437,1.192511e1,5.281648e-1,3.345905e-1
geo/r=2/m=8,438,935,5.626004e0,2.287898e-1,2.341867e-1
geo/r=2/m=8,936,2000,2.616784e0,1.105894e-1,1.915493e-1
geo/r=4/m=4,1,2,2.738000e3,6.647813e0,1.000000e0
geo/r=4/m=4,3,5,9.536667e2,6.104058e0,1.000000e0
geo/r=4/m=4,6,10,4.772500e2,5.909416e0,1.000000e0
geo/r=4/m=4,11,21,2.393636e2,5.178560e0,1.000000e0
geo/r=4/m=4,22,45,1.157396e2,3.865923e0,1.000000e0
geo/r=4/m=4,46,96,5.412745e1,2.226650e0,8.799020e-1
geo/r=4/m=4,97,205,2.523165e1,1.209650e0,5.768349e-1
geo/r=4/m=4,206,437,1.192511e1,5.907634e-1,3.550647e-1
geo/r=4/m=4,438,935,5.626004e0,2.614668e-1,2.412149e-1
geo/r=4/m=4,936,2000,2.616784e0,1.230969e-1,1.888498e-1
geo/r=8/m=3,1,2,2.738000e3,6.613063e0,1.000000e0
geo/r=8/m=3,3,5,9.536667e2,6.092617e0,1.000000e0
geo/r=8/m=3,6,10,4.772500e2,5.889371e0,1.000000e0
geo/r=8/m=3,11,21,2.393636e2,5.161633e0,1.000000e0
geo/r=8/m=3,22,45,1.157396e2,3.904456e0,1.000000e0
geo/r=8/m=3,46,96,5.412745e1,2.261826e0,8.946078e-1
geo/r=8/m=3,97,205,2.523165e1,1.240889e0,5.871560e-1
geo/r=8/m=3,206,437,1.192511e1,6.063605e-1,3.512931e-1
geo/r=8/m=3,438,935,5.626004e0,2.687391e-1,2.442269e-1
geo/r=8/m=3,936,2000,2.616784e0,1.262930e-1,1.923709e-1
