scheme,age,snr_mean,snr_stderr
exp/tau=100,465,-1.004675e-1,4.550059e-1
exp/tau=100,579,2.955347e-1,3.641686e-1
exp/tau=100,721,6.759691e-2,2.977579e-1
exp/tau=100,897,2.513105e-1,4.056075e-1
exp/tau=100,1118,3.506265e-1,4.734365e-1
exp/tau=100,1392,2.217585e-1,3.388741e-1
exp/tau=100,1733,-2.006815e-1,4.444568e-1
exp/tau=100,2158,-4.440751e-1,2.582271e-1
exp/tau=100,2687,-2.603253e-1,4.469161e-1
exp/tau=100,3346,-1.510025e-1,3.108932e-1
exp/tau=100,4167,2.894846e-1,3.833388e-1
exp/tau=100,5189,1.738939e-1,2.306743e-1
exp/tau=100,6461,6.240226e-1,3.130721e-1
exp/tau=100,8046,4.180549e-2,4.393721e-1
exp/tau=100,10019,1.429299e-1,3.980905e-1
exp/tau=100,12476,-1.261370e-1,5.306066e-1
exp/tau=100,15536,1.161365e-1,3.406419e-1
exp/tau=100,19347,-3.405689e-1,4.972990e-1
exp/tau=100,24091,4.060443e-1,3.007633e-1
exp/tau=100,30000,4.262448e-1,3.607451e-1
exp/tau=300,1,6.174275e0,1.440074e-1
exp/tau=300,2,6.163893e0,1.439740e-1
exp/tau=300,3,6.050036e0,1.349640e-1
exp/tau=300,4,5.965447e0,1.275162e-1
exp/tau=300,5,5.863309e0,1.344781e-1
exp/tau=300,6,5.877212e0,1.284243e-1
exp/tau=300,7,5.789902e0,1.604543e-1
exp/tau=300,9,5.667407e0,1.496278e-1
exp/tau=300,11,5.397283e0,1.249156e-1
exp/tau=300,14,5.287239e0,1.386760e-1
exp/tau=300,17,5.190258e0,1.633400e-1
exp/tau=300,22,5.047167e0,1.950346e-1
exp/tau=300,27,4.614352e0,2.134153e-1
exp/tau=300,33,4.064200e0,2.136980e-1
exp/tau=300,42,3.701251e0,2.566022e-1
exp/tau=300,52,2.924243e0,1.685817e-1
exp/tau=300,65,2.426907e0,2.380715e-1
exp/tau=300,80,2.011672e0,3.585493e-1
exp/tau=300,100,1.316965e0,4.292094e-1
exp/tau=300,125,1.352374e0,4.858784e-1
exp/tau=300,155,7.819049e-1,4.167496e-1
exp/tau=300,193,1.468296e-1,3.481215e-1
exp/tau=300,241,3.336762e-1,4.096056e-1
exp/tau=300,300,5.450110e-1,4.176760e-1
exp/tau=300,373,1.666281e-1,2.526520e-1
exp/tau=300,465,-1.182870e-1,3.942647e-1
exp/tau=300,579,2.245207e-1,3.735273e-1
exp/tau=300,721,4.209912e-2,2.615420e-1
exp/tau=300,897,3.068506e-1,3.244101e-1
exp/tau=300,1118,3.421445e-1,4.354117e-1
exp/tau=300,1392,2.611844e-1,3.032657e-1
exp/tau=300,1733,-4.692878e-2,4.073837e-1
exp/tau=300,2158,-3.661182e-1,2.858994e-1
