scheme,age,snr_mean,snr_stderr
plain,2109,1.144859e-2,6.278093e-2
plain,2183,2.678171e-2,6.339880e-2
plain,2260,-1.178526e-1,6.652587e-2
plain,2339,-3.241543e-2,6.238245e-2
plain,2421,1.493913e-1,6.596580e-2
plain,2506,1.408928e-2,6.190767e-2
plain,2594,-8.837112e-2,6.172295e-2
plain,2685,9.586204e-2,6.251409e-2
plain,2779,-1.241785e-2,5.885148e-2
plain,2877,2.410626e-2,6.529592e-2
plain,2978,5.650708e-2,6.424648e-2
plain,3082,1.469483e-3,6.554372e-2
plain,3190,6.606858e-2,5.879179e-2
plain,3302,5.035077e-3,6.294697e-2
plain,3418,-1.136721e-1,6.188179e-2
plain,3538,-1.592918e-1,6.486561e-2
plain,3662,-5.561974e-2,6.355890e-2
plain,3791,-4.513042e-2,6.292983e-2
plain,3924,-3.411812e-2,5.997404e-2
plain,4061,-7.530412e-2,6.131506e-2
plain,4204,-8.454617e-2,6.380474e-2
plain,4351,-5.527937e-2,6.268703e-2
plain,4504,6.532536e-2,6.782917e-2
plain,4662,-2.452869e-2,6.113202e-2
plain,4825,6.488265e-2,6.251273e-2
plain,4994,6.466766e-2,6.147610e-2
plain,5170,1.272001e-1,5.937864e-2
plain,5351,-8.136618e-3,5.976493e-2
plain,5539,-3.197125e-2,5.998742e-2
plain,5733,9.790371e-2,6.362108e-2
plain,5934,6.213232e-2,6.749843e-2
plain,6142,1.778963e-3,6.228167e-2
plain,6358,3.101513e-2,7.112712e-2
plain,6581,7.920100e-4,6.283192e-2
plain,6812,-4.217811e-3,6.473707e-2
plain,7051,8.553753e-2,6.431781e-2
plain,7298,-7.456205e-2,6.630891e-2
plain,7554,-8.841413e-2,6.229953e-2
plain,7819,3.667836e-2,6.459571e-2
plain,8093,1.656036e-2,6.328345e-2
plain,8377,2.240985e-2,6.569686e-2
plain,8671,-3.601316e-2,6.627954e-2
plain,8975,4.806196e-2,5.949305e-2
plain,9290,2.499902e-2,6.792464e-2
plain,9616,-1.581028e-2,6.137191e-2
plain,9953,-4.308380e-2,5.951582e-2
plain,10302,-2.720845e-2,6.597634e-2
plain,10664,-3.445854e-2,7.107790e-2
plain,11038,-8.467132e-2,6.328841e-2
plain,11425,-3.293074e-2,6.072209e-2
plain,11826,2.004874e-2,6.408649e-2
plain,12241,-5.477160e-2,6.660122e-2
plain,12670,-3.547063e-2,6.735340e-2
plain,13115,3.011308e-2,5.606770e-2
plain,13575,3.469556e-2,6.541258e-2
plain,14051,-3.117809e-2,6.137484e-2
plain,14544,5.075406e-2,6.500585e-2
plain,15054,-1.221930e-1,6.681019e-2
plain,15582,-5.413847e-2,5.928430e-2
plain,16129,-1.618838e-1,6.009661e-2
plain,16694,3.648447e-2,6.249840e-2
plain,17280,4.174498e-2,5.831798e-2
plain,17886,-2.494230e-2,6.171914e-2
