scheme,age,snr_mean,snr_stderr
exp/tau=100,12476,-2.298733e-2,6.427118e-2
exp/tau=100,15536,-2.102747e-2,6.285184e-2
exp/tau=100,19347,-5.036069e-3,6.373361e-2
exp/tau=100,24091,1.294467e-1,6.196488e-2
exp/tau=100,30000,1.784792e-2,6.066169e-2
exp/tau=300,1,6.109014e0,3.130261e-2
exp/tau=300,2,6.052693e0,3.168065e-2
exp/tau=300,3,5.973501e0,3.251661e-2
exp/tau=300,4,5.867810e0,3.164800e-2
exp/tau=300,5,5.799131e0,3.326440e-2
exp/tau=300,6,5.715108e0,3.363122e-2
exp/tau=300,7,5.621102e0,3.296516e-2
exp/tau=300,9,5.504248e0,3.398527e-2
exp/tau=300,11,5.360688e0,3.581630e-2
exp/tau=300,14,5.128962e0,3.985630e-2
exp/tau=300,17,4.912224e0,4.449444e-2
exp/tau=300,22,4.615897e0,4.723818e-2
exp/tau=300,27,4.270189e0,4.963019e-2
exp/tau=300,33,3.977920e0,4.937523e-2
exp/tau=300,42,3.457350e0,5.406261e-2
exp/tau=300,52,2.932552e0,5.259945e-2
exp/tau=300,65,2.418325e0,5.646821e-2
exp/tau=300,80,1.920374e0,6.089421e-2
exp/tau=300,100,1.407997e0,6.202013e-2
exp/tau=300,125,8.836289e-1,6.461648e-2
exp/tau=300,155,4.184375e-1,6.383013e-2
exp/tau=300,193,1.248572e-1,6.376018e-2
exp/tau=300,241,1.141473e-1,5.933716e-2
exp/tau=300,300,3.321184e-2,6.374157e-2
exp/tau=300,373,-3.149168e-2,6.445469e-2
exp/tau=300,465,1.232534e-1,6.678777e-2
exp/tau=300,579,1.415756e-1,6.140509e-2
exp/tau=300,721,-2.369006e-2,6.084355e-2
exp/tau=300,897,7.471351e-2,6.615503e-2
exp/tau=300,1118,-4.793713e-3,6.049760e-2
exp/tau=300,1392,-1.929942e-2,6.331434e-2
exp/tau=300,1733,-1.985869e-2,6.543983e-2
exp/tau=300,2158,1.466007e-2,6.264986e-2
exp/tau=300,2687,1.099041e-1,6.230190e-2
exp/tau=300,3346,-1.438740e-1,6.100545e-2
exp/tau=300,4167,-9.769216e-2,6.054665e-2
exp/tau=300,5189,4.071688e-2,5.896163e-2
exp/tau=300,6461,4.625542e-6,6.630987e-2
exp/tau=300,8046,-5.185905e-2,6.514962e-2
exp/tau=300,10019,5.773719e-2,5.920803e-2
exp/tau=300,12476,-9.131690e-3,6.508307e-2
exp/tau=300,15536,1.099107e-3,6.265434e-2
exp/tau=300,19347,-8.548832e-3,6.390913e-2
