scheme,rank_lo,rank_hi,visits_mean,snr_mean,recalled_fraction
uniform/g=0.25/m=8,1,2,2.750020e3,6.285850e0,1.000000e0
uniform/g=0.25/m=8,3,5,9.559688e2,5.925695e0,1.000000e0
uniform/g=0.25/m=8,6,10,4.741305e2,5.506375e0,1.000000e0
uniform/g=0.25/m=8,11,21,2.393086e2,4.697870e0,9.978693e-1
uniform/g=0.25/m=8,22,45,1.147108e2,3.409893e0,9.628906e-1
uniform/g=0.25/m=8,46,96,5.414277e1,2.065391e0,7.773438e-1
uniform/g=0.25/m=8,97,205,2.543008e1,1.116501e0,5.222549e-1
uniform/g=0.25/m=8,206,437,1.194386e1,5.481939e-1,3.375707e-1
uniform/g=0.25/m=8,438,935,5.587436e0,2.656457e-1,2.453015e-1
uniform/g=0.25/m=8,936,2000,2.619032e0,1.259417e-1,2.006639e-1
geo/r=2/m=8,1,2,2.750020e3,6.889271e0,1.000000e0
geo/r=2/m=8,3,5,9.559688e2,6.517344e0,1.000000e0
geo/r=2/m=8,6,10,4.741305e2,6.062450e0,1.000000e0
geo/r=2/m=8,11,21,2.393086e2,5.114591e0,1.000000e0
geo/r=2/m=8,22,45,1.147108e2,3.619174e0,9.855143e-1
geo/r=2/m=8,46,96,5.414277e1,2.112571e0,8.200827e-1
geo/r=2/m=8,97,205,2.543008e1,1.112210e0,5.275229e-1
geo/r=2/m=8,206,437,1.194386e1,5.358133e-1,3.228549e-1
geo/r=2/m=8,438,935,5.587436e0,2.555828e-1,2.360222e-1
geo/r=2/m=8,936,2000,2.619032e0,1.210706e-1,1.957013e-1
geo/r=4/m=4,1,2,2.750020e3,6.654624e0,1.000000e0
geo/r=4/m=4,3,5,9.559688e2,6.339583e0,1.000000e0
geo/r=4/m=4,6,10,4.741305e2,5.981755e0,1.000000e0
geo/r=4/m=4,11,21,2.393086e2,5.182908e0,1.000000e0
geo/r=4/m=4,22,45,1.147108e2,3.817065e0,9.954427e-1
geo/r=4/m=4,46,96,5.414277e1,2.309473e0,8.837316e-1
geo/r=4/m=4,97,205,2.543008e1,1.238437e0,5.828913e-1
geo/r=4/m=4,206,437,1.194386e1,6.014844e-1,3.466460e-1
geo/r=4/m=4,438,935,5.587436e0,2.868244e-1,2.438033e-1
geo/r=4/m=4,936,2000,2.619032e0,1.361221e-1,1.988813e-1
geo/r=8/m=3,1,2,2.750020e3,6.627782e0,1.000000e0
geo/r=8/m=3,3,5,9.559688e2,6.317221e0,1.000000e0
geo/r=8/m=3,6,10,4.741305e2,5.969774e0,1.000000e0
geo/r=8/m=3,11,21,2.393086e2,5.187707e0,1.000000e0
geo/r=8/m=3,22,45,1.147108e2,3.851639e0,9.962565e-1
geo/r=8/m=3,46,96,5.414277e1,2.351330e0,8.967525e-1
geo/r=8/m=3,97,205,2.543008e1,1.267557e0,5.977279e-1
geo/r=8/m=3,206,437,1.194386e1,6.163031e-1,3.531115e-1
geo/r=8/m=3,438,935,5.587436e0,2.938811e-1,2.462742e-1
geo/r=8/m=3,936,2000,2.619032e0,1.396535e-1,1.999560e-1
