arm_name,arm_short,eta,ewc_lambda,round,domain,pre_revisit_acc,pre_revisit_loss,post_train_acc,post_train_loss,retention_gap
Ladder-2 (m=2),ladder_2,3.0000,0.00,3,0,0.4500,5.1989,0.9200,4.2714,0.9275
Ladder-2 (m=2),ladder_2,3.0000,0.00,3,1,0.3000,5.2064,0.8900,4.2580,0.9484
Ladder-2 (m=2),ladder_2,3.0000,0.00,3,2,0.3100,5.2156,0.8700,4.2703,0.9452
Ladder-2 (m=2),ladder_2,3.0000,0.00,3,3,0.2900,5.1896,0.7600,4.2657,0.9240
Ladder-2 (m=2),ladder_2,3.0000,0.00,4,0,0.5200,4.8172,0.9800,3.9071,0.9101
Ladder-2 (m=2),ladder_2,3.0000,0.00,4,1,0.4700,4.8140,0.9400,3.8838,0.9302
Ladder-2 (m=2),ladder_2,3.0000,0.00,4,2,0.4700,4.8232,0.8500,3.9014,0.9218
Ladder-2 (m=2),ladder_2,3.0000,0.00,4,3,0.3700,4.8049,0.9200,3.9028,0.9021
Ladder-2 (m=2),ladder_2,3.0000,0.00,5,0,0.6900,4.4409,0.9600,3.5580,0.8830
Ladder-2 (m=2),ladder_2,3.0000,0.00,5,1,0.5400,4.4391,0.9400,3.5361,0.9030
Ladder-2 (m=2),ladder_2,3.0000,0.00,5,2,0.5100,4.4574,0.9700,3.5523,0.9051
Ladder-2 (m=2),ladder_2,3.0000,0.00,5,3,0.5100,4.4281,0.8400,3.5629,0.8652
Plain (m=1),plain_m1,3.0000,0.00,1,0,0.0000,6.2383,0.6800,5.0153,1.2230
Plain (m=1),plain_m1,3.0000,0.00,1,1,0.0000,6.1988,0.6500,4.9671,1.2317
Plain (m=1),plain_m1,3.0000,0.00,1,2,0.0000,6.2186,0.5800,4.9871,1.2314
Plain (m=1),plain_m1,3.0000,0.00,1,3,0.0000,6.1575,0.5500,4.9507,1.2067
Plain (m=1),plain_m1,3.0000,0.00,2,0,0.4700,4.9646,0.9200,3.8285,1.1360
Plain (m=1),plain_m1,3.0000,0.00,2,1,0.3500,4.9659,0.7700,3.8119,1.1540
Plain (m=1),plain_m1,3.0000,0.00,2,2,0.2800,4.9715,0.7300,3.8320,1.1394
Plain (m=1),plain_m1,3.0000,0.00,2,3,0.2600,4.9416,0.7100,3.8239,1.1177
Plain (m=1),plain_m1,3.0000,0.00,3,0,0.6900,3.8502,0.9300,2.8408,1.0094
Plain (m=1),plain_m1,3.0000,0.00,3,1,0.5600,3.8557,0.8500,2.8190,1.0367
Plain (m=1),plain_m1,3.0000,0.00,3,2,0.4900,3.8822,0.8600,2.8592,1.0229
Plain (m=1),plain_m1,3.0000,0.00,3,3,0.5000,3.8723,0.7900,2.8829,0.9894
Plain (m=1),plain_m1,3.0000,0.00,4,0,0.7800,2.9359,0.9800,2.0735,0.8624
Plain (m=1),plain_m1,3.0000,0.00,4,1,0.7300,2.9164,0.9700,2.0345,0.8820
Plain (m=1),plain_m1,3.0000,0.00,4,2,0.6600,2.9571,0.9100,2.0966,0.8606
Plain (m=1),plain_m1,3.0000,0.00,4,3,0.6500,2.9746,0.9100,2.1357,0.8389
Plain (m=1),plain_m1,3.0000,0.00,5,0,0.8600,2.2029,0.9700,1.5254,0.6775
Plain (m=1),plain_m1,3.0000,0.00,5,1,0.8400,2.1670,0.9900,1.4721,0.6948
Plain (m=1),plain_m1,3.0000,0.00,5,2,0.8100,2.2239,0.9900,1.5139,0.7100
Plain (m=1),plain_m1,3.0000,0.00,5,3,0.7800,2.2468,0.9500,1.5790,0.6678
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,1,0,0.0000,6.2383,1.0000,6.1823,0.0560
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,1,1,0.0000,6.2363,0.9900,6.1567,0.0796
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,1,2,0.0000,6.2369,1.0000,6.1395,0.0974
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,1,3,0.0000,6.2308,0.9700,6.1144,0.1164
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,2,0,0.9900,6.1220,1.0000,6.0750,0.0470
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,2,1,0.9800,6.1002,1.0000,6.0535,0.0468
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,2,2,1.0000,6.0860,1.0000,6.0378,0.0482
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,2,3,0.9800,6.0643,1.0000,6.0150,0.0493
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,3,0,1.0000,6.0231,1.0000,5.9808,0.0423
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,3,1,1.0000,6.0040,1.0000,5.9623,0.0417
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,3,2,1.0000,5.9912,1.0000,5.9478,0.0434
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,3,3,0.9900,5.9707,0.9900,5.9260,0.0447
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,4,0,1.0000,5.9349,1.0000,5.8951,0.0398
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,4,1,1.0000,5.9184,1.0000,5.8793,0.0391
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,4,2,1.0000,5.9051,1.0000,5.8646,0.0405
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,4,3,1.0000,5.8854,1.0000,5.8434,0.0420
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,5,0,1.0000,5.8523,1.0000,5.8143,0.0380
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,5,1,1.0000,5.8379,1.0000,5.8002,0.0377
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,5,2,1.0000,5.8246,1.0000,5.7858,0.0388
Proximal EWC (lam=1.0),proximal_ewc,3.0000,1.00,5,3,1.0000,5.8049,1.0000,5.7643,0.0406
