arm_short,arm_name,eta,ewc_lambda,round,domain,pre_revisit_acc,pre_revisit_loss,acc_few5,acc_few10,acc_few20,acc_few50,acc_few200,post_train_acc,post_train_loss,retention_gap
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,4,0,0.1200,4.7600,0.1200,0.1200,0.1200,0.1200,0.1200,0.1500,4.7279,0.0300
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,4,1,0.1200,4.8578,0.1200,0.1200,0.1200,0.1200,0.1200,0.1400,4.6698,0.0200
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,4,2,0.1000,4.8183,0.1000,0.1000,0.1000,0.1000,0.1000,0.1200,4.6094,0.0200
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,4,3,0.1200,4.5212,0.1200,0.1200,0.1200,0.1200,0.1200,0.1100,4.5154,-0.0100
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,5,0,0.1100,4.7168,0.1100,0.1300,0.1100,0.1300,0.1800,0.1300,4.7165,0.0200
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,5,1,0.1200,4.7550,0.1300,0.1200,0.1400,0.1500,0.1900,0.1300,4.6295,0.0100
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,5,2,0.1000,4.7957,0.1100,0.1100,0.1200,0.1300,0.1700,0.1000,4.5959,0.0000
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,5,3,0.1500,4.5255,0.1400,0.1600,0.1400,0.1500,0.1300,0.0900,4.5535,-0.0600
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,1,0,0.1400,6.2383,0.1400,0.1400,0.1400,0.1400,0.1400,0.1000,4.6255,-0.0400
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,1,1,0.0400,6.0713,0.0400,0.0400,0.0400,0.0400,0.0400,0.1200,4.5869,0.0800
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,1,2,0.0500,6.0316,0.0500,0.0500,0.0500,0.0500,0.0500,0.1200,4.7933,0.0700
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,1,3,0.0400,6.0268,0.0400,0.0400,0.0400,0.0400,0.0400,0.1400,4.4850,0.1000
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,2,0,0.1100,4.7837,0.1100,0.1100,0.1100,0.1100,0.1100,0.0800,4.7316,-0.0300
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,2,1,0.1500,4.7772,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,4.6548,0.0000
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,2,2,0.0800,5.0252,0.0800,0.0800,0.0800,0.0800,0.0800,0.1300,4.5693,0.0500
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,2,3,0.1100,4.5446,0.1100,0.1100,0.1100,0.1100,0.1100,0.1000,4.5463,-0.0100
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,3,0,0.1200,4.7172,0.1200,0.1200,0.1200,0.1200,0.1200,0.0800,4.7774,-0.0400
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,3,1,0.1400,4.5907,0.1400,0.1400,0.1400,0.1400,0.1400,0.1300,4.5766,-0.0100
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,3,2,0.0900,4.7660,0.0900,0.0900,0.0900,0.0900,0.0900,0.0800,4.4890,-0.0100
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,3,3,0.1300,4.6314,0.1300,0.1300,0.1300,0.1300,0.1300,0.1100,4.5905,-0.0200
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,4,0,0.1200,4.7203,0.1200,0.1200,0.1200,0.1200,0.1200,0.1200,4.9016,0.0000
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,4,1,0.1000,4.6430,0.1000,0.1000,0.1000,0.1000,0.1000,0.1100,4.4824,0.0100
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,4,2,0.1400,4.6428,0.1400,0.1400,0.1400,0.1400,0.1400,0.1300,4.5249,-0.0100
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,4,3,0.1400,4.7951,0.1400,0.1400,0.1400,0.1400,0.1400,0.0900,4.7489,-0.0500
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,5,0,0.1300,4.8792,0.1300,0.1300,0.1300,0.1300,0.1600,0.1100,5.0386,-0.0200
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,5,1,0.0800,4.5684,0.0800,0.1100,0.1100,0.1300,0.1700,0.0900,4.4991,0.0100
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,5,2,0.1100,4.6747,0.1200,0.1200,0.1200,0.1300,0.1400,0.1000,4.5886,-0.0100
ladder_2,"Ladder-2 (m=2)",2.0000,0.0000,5,3,0.1100,4.9790,0.1100,0.1100,0.1000,0.0900,0.1400,0.0800,4.9206,-0.0300
plain_m1,"Plain (m=1)",2.0000,0.0000,1,0,0.1400,6.2383,0.1400,0.1400,0.1400,0.1400,0.1400,0.0800,4.5476,-0.0600
plain_m1,"Plain (m=1)",2.0000,0.0000,1,1,0.0500,6.0098,0.0500,0.0500,0.0500,0.0500,0.0500,0.1000,4.6083,0.0500
plain_m1,"Plain (m=1)",2.0000,0.0000,1,2,0.0400,5.9616,0.0400,0.0400,0.0400,0.0400,0.0400,0.1300,4.8106,0.0900
plain_m1,"Plain (m=1)",2.0000,0.0000,1,3,0.0200,5.9503,0.0200,0.0200,0.0200,0.0200,0.0200,0.1500,4.4547,0.1300
plain_m1,"Plain (m=1)",2.0000,0.0000,2,0,0.0600,4.9426,0.0600,0.0600,0.0600,0.0600,0.0600,0.0900,5.0662,0.0300
plain_m1,"Plain (m=1)",2.0000,0.0000,2,1,0.0700,4.7195,0.0700,0.0700,0.0700,0.0700,0.0700,0.1200,4.8396,0.0500
plain_m1,"Plain (m=1)",2.0000,0.0000,2,2,0.0700,5.3920,0.0700,0.0700,0.0700,0.0700,0.0700,0.1300,4.6780,0.0600
plain_m1,"Plain (m=1)",2.0000,0.0000,2,3,0.1100,4.6154,0.1100,0.1100,0.1100,0.1100,0.1100,0.0800,4.9385,-0.0300
plain_m1,"Plain (m=1)",2.0000,0.0000,3,0,0.1000,4.9368,0.1000,0.1000,0.1000,0.1000,0.1000,0.0800,5.3397,-0.0200
plain_m1,"Plain (m=1)",2.0000,0.0000,3,1,0.1100,4.6844,0.1100,0.1100,0.1100,0.1100,0.1100,0.0900,4.8129,-0.0200
plain_m1,"Plain (m=1)",2.0000,0.0000,3,2,0.0700,4.9548,0.0700,0.0700,0.0700,0.0700,0.0700,0.1100,4.8348,0.0400
plain_m1,"Plain (m=1)",2.0000,0.0000,3,3,0.0900,5.1171,0.0900,0.0900,0.0900,0.0900,0.0900,0.1100,5.3259,0.0200
